Processed,Method,URI,Flags
false,GET,https://blockchain.info/address/1AbKfgvw9psQ41NbLi8kufDQTezwG8DRZm,Out of Scope
false,GET,https://explorer.dash.org/address/Xr556RzuwX6hg5EGpkybbv5RanJoZN17kW,Out of Scope
false,GET,https://etherscan.io/address/0x0f933ab9fcaaa782d0279c300d73750e1311eae6,Out of Scope
false,GET,https://pwning.owasp-juice.shop/companion-guide/latest/part3/donations.html,Out of Scope
false,GET,http://shop.spreadshirt.com/juiceshop,Out of Scope
false,GET,http://shop.spreadshirt.de/juiceshop,Out of Scope
false,GET,https://www.stickeryou.com/products/owasp-juice-shop/794,Out of Scope
false,GET,http://leanpub.com/juice-shop,Out of Scope
false,GET,https://opensea.io/collection/juice-shop,Out of Scope
false,GET,https://twitter.com/,Out of Scope
false,GET,https://twitter.com/intent/tweet?text,Out of Scope
false,GET,https://testnets.opensea.io/assets/mumbai/0xf4817631372dca68a25a18eb7a0b36d54f3dbcf7/0,Out of Scope
false,GET,https://testnets.opensea.io/0x8343d2eb2B13A2495De435a1b15e85b98115Ce05,Out of Scope
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/main.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/main.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/main.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/express/lib/router/assets/public/main.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/node_modules/serve-index/assets/public/main.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/assets/public/favicon_js.ico,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/styles.css,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/chunk-24EZLZ4I.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/chunk-T3PSKZ45.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/chunk-4MIYPPGW.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/chunk-LHKS7QUN.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/chunk-TWZW5B45.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/polyfills.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/scripts.js,
true,GET,https://juice-shop.herokuapp.com/app/build/routes/assets/public/main.js,
true,GET,https://juice-shop.herokuapp.com/ftp/,
true,GET,https://juice-shop.herokuapp.com/ftp/quarantine/juicy_malware_linux_amd_64.url,
true,GET,https://juice-shop.herokuapp.com/ftp/quarantine/juicy_malware_linux_arm_64.url,
true,GET,https://juice-shop.herokuapp.com/ftp/quarantine/juicy_malware_macos_64.url,
true,GET,https://juice-shop.herokuapp.com/ftp/quarantine/juicy_malware_windows_64.exe.url,
